Year.x,Month,Day,TOTALDEMAND,RRP,date_keep,time_keep,Daily.global.solar.exposure..MJ.m.m.,Minimum.temperature..Degree.C.,Maximum.temperature..Degree.C.,Rainfall.amount..millimetres.,Season,price_mov_avg_1hr,price_mov_avg_2hr,demand_mov_avg_1hr,demand_mov_avg_2hr,segment_day,week_of_year,day_of_week,segment_30min,index
2018,1,1,6912.25,91.86,2018/01/01,00:30:00,31,20.8,28.3,0,1,0,0,0,0,1,1,Monday,2,1
2018,1,1,6745.63,88.83,2018/01/01,01:00:00,31,20.8,28.3,0,1,NA,0,NA,0,1,1,Monday,3,2
2018,1,1,6466.06,73.62,2018/01/01,01:30:00,31,20.8,28.3,0,1,90.345,0,6828.9400000000005,0,1,1,Monday,4,3
2018,1,1,6279.8,71.49,2018/01/01,02:00:00,31,20.8,28.3,0,1,81.225,81.45,6605.845,6600.935,1,1,Monday,5,4
2018,1,1,6177.31,69.27,2018/01/01,02:30:00,31,20.8,28.3,0,1,72.555,75.8025,6372.93,6417.2,1,1,Monday,6,5
2018,1,1,6050.43,68.44,2018/01/01,03:00:00,31,20.8,28.3,0,1,70.38,70.705,6228.555,6243.4,1,1,Monday,7,6
2018,1,1,6032.48,69.67,2018/01/01,03:30:00,31,20.8,28.3,0,1,68.85499999999999,69.7175,6113.870000000001,6135.005,1,1,Monday,8,7
2018,1,1,5968.5,67.58,2018/01/01,04:00:00,31,20.8,28.3,0,1,69.055,68.74,6041.455,6057.18,1,1,Monday,9,8
2018,1,1,5953.75,67.09,2018/01/01,04:30:00,31,20.8,28.3,0,1,68.625,68.195,6000.49,6001.29,1,1,Monday,10,9
2018,1,1,5962.18,67.53,2018/01/01,05:00:00,31,20.8,28.3,0,1,67.33500000000001,67.9675,5961.125,5979.2275,1,1,Monday,11,10
2018,1,1,5991.69,65.8,2018/01/01,05:30:00,31,20.8,28.3,0,1,67.31,67,5957.965,5969.03,1,1,Monday,12,11
2018,1,1,6062.03,61.53,2018/01/01,06:00:00,31,20.8,28.3,0,1,66.66499999999999,65.4875,5976.9349999999995,5992.4125,1,1,Monday,13,12
2018,1,1,6204.87,66.62,2018/01/01,06:30:00,31,20.8,28.3,0,1,63.665,65.37,6026.86,6055.1925,1,1,Monday,14,13
2018,1,1,7336.37,62.37,2018/01/01,23:00:00,31,20.8,28.3,0,1,64.075,66.375,6133.45,7603.075,1,1,Monday,47,46
2018,1,1,7123.26,62.84,2018/01/01,23:30:00,31,20.8,28.3,0,1,64.495,64.2575,6770.62,7418.82,1,1,Monday,48,47
2018,1,2,6989.32,58.48,2018/01/02,00:00:00,22.6,20.7,28.7,0,1,62.605000000000004,62.3525,7229.8150000000005,7254.02,1,1,Tuesday,1,48
2018,1,2,6815.38,56.73,2018/01/02,00:30:00,22.6,20.7,28.7,0,1,60.66,60.105,7056.29,7066.0825,1,1,Tuesday,2,49
2018,1,2,6590.78,56.88,2018/01/02,01:00:00,22.6,20.7,28.7,0,1,57.605,58.7325,6902.35,6879.685,1,1,Tuesday,3,50
2018,1,2,6290.12,53.73,2018/01/02,01:30:00,22.6,20.7,28.7,0,1,56.805,56.455,6703.08,6671.4,1,1,Tuesday,4,51
2018,1,2,6139.77,55.07,2018/01/02,02:00:00,22.6,20.7,28.7,0,1,55.305,55.6025,6440.45,6459.0125,1,1,Tuesday,5,52
2018,1,2,6030.56,53.74,2018/01/02,02:30:00,22.6,20.7,28.7,0,1,54.4,54.855,6214.945,6262.8075,1,1,Tuesday,6,53
2018,1,2,5986.37,54.98,2018/01/02,03:00:00,22.6,20.7,28.7,0,1,54.405,54.38,6085.165000000001,6111.705,1,1,Tuesday,7,54
2018,1,2,5986.86,54.98,2018/01/02,03:30:00,22.6,20.7,28.7,0,1,54.36,54.6925,6008.465,6035.89,1,1,Tuesday,8,55
2018,1,2,6013.38,54.98,2018/01/02,04:00:00,22.6,20.7,28.7,0,1,54.98,54.67,5986.615,6004.2925,1,1,Tuesday,9,56
2018,1,2,6198.13,52.47,2018/01/02,04:30:00,22.6,20.7,28.7,0,1,54.98,54.3525,6000.12,6046.185,1,1,Tuesday,10,57
2018,1,2,6271.44,66.62,2018/01/02,05:00:00,22.6,20.7,28.7,0,1,53.724999999999994,57.2625,6105.755,6117.4525,1,1,Tuesday,11,58
2018,1,2,6557.23,66.89,2018/01/02,05:30:00,22.6,20.7,28.7,0,1,59.545,60.24,6234.785,6260.045,1,1,Tuesday,12,59
2018,1,2,6847.25,67.29,2018/01/02,06:00:00,22.6,20.7,28.7,0,1,66.755,63.3175,6414.334999999999,6468.5125,1,1,Tuesday,13,60
2018,1,2,7155.88,66.02,2018/01/02,06:30:00,22.6,20.7,28.7,0,1,67.09,66.705,6702.24,6707.95,1,1,Tuesday,14,61
2018,1,2,7551.29,66.48,2018/01/02,23:00:00,22.6,20.7,28.7,0,1,66.655,66.155,7001.5650000000005,7798.4625,1,1,Tuesday,47,94
2018,1,2,7343.45,67.23,2018/01/02,23:30:00,22.6,20.7,28.7,0,1,66.25,65.8875,7353.585,7612.1225,1,1,Tuesday,48,95
2018,1,3,7176.17,64.82,2018/01/03,00:00:00,19.5,20,23.8,3,1,66.855,66.5025,7447.37,7451.965,1,1,Wednesday,1,96
2018,1,3,6942.74,59.82,2018/01/03,00:30:00,19.5,20,23.8,3,1,66.025,64.5875,7259.8099999999995,7253.4125,1,1,Wednesday,2,97
2018,1,3,6775.6,56.38,2018/01/03,01:00:00,19.5,20,23.8,3,1,62.31999999999999,62.0625,7059.455,7059.49,1,1,Wednesday,3,98
2018,1,3,6495.39,49.35,2018/01/03,01:30:00,19.5,20,23.8,3,1,58.1,57.5925,6859.17,6847.475,1,1,Wednesday,4,99
2018,1,3,6255.22,49.82,2018/01/03,02:00:00,19.5,20,23.8,3,1,52.865,53.8425,6635.495000000001,6617.2375,1,1,Wednesday,5,100
2018,1,3,6140.19,53.63,2018/01/03,02:30:00,19.5,20,23.8,3,1,49.585,52.295,6375.305,6416.6,1,1,Wednesday,6,101
2018,1,3,6075.4,53.14,2018/01/03,03:00:00,19.5,20,23.8,3,1,51.725,51.485,6197.705,6241.55,1,1,Wednesday,7,102
2018,1,3,6046.01,54.98,2018/01/03,03:30:00,19.5,20,23.8,3,1,53.385000000000005,52.8925,6107.795,6129.205,1,1,Wednesday,8,103
2018,1,3,6115.91,54.98,2018/01/03,04:00:00,19.5,20,23.8,3,1,54.06,54.1825,6060.705,6094.3775,1,1,Wednesday,9,104
2018,1,3,6241.05,56.23,2018/01/03,04:30:00,19.5,20,23.8,3,1,54.98,54.8325,6080.96,6119.5925,1,1,Wednesday,10,105
2018,1,3,6354.49,57.29,2018/01/03,05:00:00,19.5,20,23.8,3,1,55.605,55.87,6178.48,6189.365,1,1,Wednesday,11,106
2018,1,3,6616.59,62.69,2018/01/03,05:30:00,19.5,20,23.8,3,1,56.76,57.7975,6297.77,6332.01,1,1,Wednesday,12,107
2018,1,3,6846.51,62.87,2018/01/03,06:00:00,19.5,20,23.8,3,1,59.989999999999995,59.77,6485.54,6514.66,1,1,Wednesday,13,108
2018,1,3,7181.93,65.24,2018/01/03,06:30:00,19.5,20,23.8,3,1,62.78,62.0225,6731.55,6749.88,1,1,Wednesday,14,109
2018,1,3,7362.91,63.2,2018/01/03,23:00:00,19.5,20,23.8,3,1,64.05499999999999,61.9875,7014.22,7489.8825,1,1,Wednesday,47,142
2018,1,3,7180.62,65.25,2018/01/03,23:30:00,19.5,20,23.8,3,1,64.22,62.8825,7272.42,7387.15,1,1,Wednesday,48,143
2018,1,4,7046.18,64.73,2018/01/04,00:00:00,17.4,17.4,24.5,1.4,1,64.225,63.745,7271.764999999999,7271.4625,1,1,Thursday,1,144
2018,1,4,6913.03,60.22,2018/01/04,00:30:00,17.4,17.4,24.5,1.4,1,64.99000000000001,63.35,7113.4,7125.685,1,1,Thursday,2,145
2018,1,4,6696.01,55.2,2018/01/04,01:00:00,17.4,17.4,24.5,1.4,1,62.475,61.35,6979.605,6958.96,1,1,Thursday,3,146
2018,1,4,6424.05,47.44,2018/01/04,01:30:00,17.4,17.4,24.5,1.4,1,57.71,56.8975,6804.52,6769.8175,1,1,Thursday,4,147
2018,1,4,6186.67,49.8,2018/01/04,02:00:00,17.4,17.4,24.5,1.4,1,51.32,53.165,6560.030000000001,6554.94,1,1,Thursday,5,148
2018,1,4,6054.3,53.52,2018/01/04,02:30:00,17.4,17.4,24.5,1.4,1,48.62,51.49,6305.360000000001,6340.2575,1,1,Thursday,6,149
2018,1,4,5968.01,53.47,2018/01/04,03:00:00,17.4,17.4,24.5,1.4,1,51.66,51.0575,6120.485000000001,6158.2575,1,1,Thursday,7,150
2018,1,4,5992.93,40.56,2018/01/04,03:30:00,17.4,17.4,24.5,1.4,1,53.495000000000005,49.3375,6011.155000000001,6050.4775,1,1,Thursday,8,151
2018,1,4,6027.42,53.18,2018/01/04,04:00:00,17.4,17.4,24.5,1.4,1,47.015,50.1825,5980.47,6010.665,1,1,Thursday,9,152
2018,1,4,6207.34,53.85,2018/01/04,04:30:00,17.4,17.4,24.5,1.4,1,46.870000000000005,50.265,6010.175,6048.925,1,1,Thursday,10,153
2018,1,4,6308.43,53.73,2018/01/04,05:00:00,17.4,17.4,24.5,1.4,1,53.515,50.33,6117.38,6134.03,1,1,Thursday,11,154
2018,1,4,6590.55,56.7,2018/01/04,05:30:00,17.4,17.4,24.5,1.4,1,53.79,54.365,6257.885,6283.435,1,1,Thursday,12,155
2018,1,4,6834.57,58.72,2018/01/04,06:00:00,17.4,17.4,24.5,1.4,1,55.215,55.75,6449.49,6485.2225,1,1,Thursday,13,156
2018,1,4,7091.77,61.34,2018/01/04,06:30:00,17.4,17.4,24.5,1.4,1,57.71,57.6225,6712.5599999999995,6706.33,1,1,Thursday,14,157
2018,1,4,7556.06,59.88,2018/01/04,23:00:00,17.4,17.4,24.5,1.4,1,60.03,59.1075,6963.17,7745.0175,1,1,Thursday,47,190
2018,1,4,7397.55,59.33,2018/01/04,23:30:00,17.4,17.4,24.5,1.4,1,60.61,59.2975,7323.915000000001,7604.1625,1,1,Thursday,48,191
2018,1,5,7279.13,56.23,2018/01/05,00:00:00,31,17.4,27.9,1,1,59.605000000000004,59.1625,7476.805,7483.2025,1,1,Friday,1,192
2018,1,5,7083.12,56.06,2018/01/05,00:30:00,31,17.4,27.9,1,1,57.78,57.875,7338.34,7328.965,1,1,Friday,2,193
2018,1,5,6876.3,54.99,2018/01/05,01:00:00,31,17.4,27.9,1,1,56.144999999999996,56.6525,7181.125,7159.025,1,1,Friday,3,194
2018,1,5,6575.75,55,2018/01/05,01:30:00,31,17.4,27.9,1,1,55.525000000000006,55.57,6979.71,6953.575,1,1,Friday,4,195
2018,1,5,6348.74,55,2018/01/05,02:00:00,31,17.4,27.9,1,1,54.995000000000005,55.2625,6726.025,6720.9775,1,1,Friday,5,196
2018,1,5,6191.18,53.38,2018/01/05,02:30:00,31,17.4,27.9,1,1,55,54.5925,6462.245,6497.9925,1,1,Friday,6,197
2018,1,5,6134.37,55.32,2018/01/05,03:00:00,31,17.4,27.9,1,1,54.19,54.675,6269.96,6312.51,1,1,Friday,7,198
2018,1,5,6125.26,55,2018/01/05,03:30:00,31,17.4,27.9,1,1,54.35,54.675,6162.775,6199.8875,1,1,Friday,8,199
2018,1,5,6190.89,53.65,2018/01/05,04:00:00,31,17.4,27.9,1,1,55.16,54.3375,6129.8150000000005,6160.425,1,1,Friday,9,200
2018,1,5,6314.89,57.16,2018/01/05,04:30:00,31,17.4,27.9,1,1,54.325,55.2825,6158.075000000001,6191.3525,1,1,Friday,10,201
